,fecha,sentimiento
0,2020-04-03 00:12:05,b'Gracias por confiar en nosotras y contactarnos para abortar de manera segura. Queremos seguir respondi\xc3\xa9ndote oportu\xe2\x80\xa6 https://t.co/lEFgyzPR5O'
1,2020-04-03 00:11:58,"b'RT @EcuadorVideo: Situaci\xc3\xb3n muy triste en la que un joven pide desesperado   atenci\xc3\xb3n para su madre por su estado de emergencia, y le niega\xe2\x80\xa6'"
2,2020-04-03 00:11:57,"b'RT @emirmontoya: @BetyStern @CayWashington @JacoboG_Ecu Todo el respaldo al alcalde y al pueblo de Ba\xc3\xb1os, no ten\xc3\xadan xq ser expuestos a cont\xe2\x80\xa6'"
3,2020-04-03 00:11:49,b'RT @EcuadorVideo: \xf0\x9d\x97\xa3\xf0\x9d\x97\xb9\xf0\x9d\x97\xae\xf0\x9d\x98\x86 &amp; \xf0\x9d\x97\xa5\xf0\x9d\x97\xa7 \xe2\x96\xb6\xef\xb8\x8f As\xc3\xad est\xc3\xa1n los m\xc3\xa9dicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar\xe2\x80\xa6'
4,2020-04-03 00:11:43,"b'RT @AlmaMiaEcu: Parece que @MashiRafael ha reclutado a sus filas a la periodista @patriciajaniot. Aprenda @lenin, no se puede tapar el sol\xe2\x80\xa6'"
5,2020-04-03 00:11:40,"b'RT @EcuadorVideo: Situaci\xc3\xb3n muy triste en la que un joven pide desesperado   atenci\xc3\xb3n para su madre por su estado de emergencia, y le niega\xe2\x80\xa6'"
6,2020-04-03 00:11:35,b'RT @100precarla: Urgente \xf0\x9f\x86\x98\nSigue la tragedia en #EcuadorEnEmergencia... https://t.co/jlXRB2Wwp8'
7,2020-04-03 00:11:18,b'RT @LEXKANDER: #EcuadorEnEmergencia que pena que el mundo nos vea as\xc3\xad. \xf0\x9f\x98\xa3 https://t.co/bdLv8VUSO4'
8,2020-04-03 00:11:15,"b'RT @veronicaariasf: En medio de todo el dolor y la angustia por esta terrible pandemia, tambi\xc3\xa9n hay esperanza, en #Loja recibieron el alta\xe2\x80\xa6'"
9,2020-04-03 00:12:45,"b'Mar\xeda Romo es una feminista resentida, todo es culpa de #Correa hasta la dismenorrea que seguro tiene, creo que https://t.co/Yb6GM8Aw27'"
10,2020-04-03 00:12:38,b'RT @TPU19J: #CoronavirusEcuador El dictador Len\xedn Moreno agradece a sus ministros por negar la atenci\xf3n hospitalaria y que los pacientes mu'
11,2020-04-03 00:12:28,"b'RT @EcuadorVideo: Situaci\xf3n muy triste en la que un joven pide desesperado   atenci\xf3n para su madre por su estado de emergencia, y le niega'"
12,2020-04-03 00:12:23,b'Por qu\xe9 c\xf3mo prensa no hacen una entrevista y piden cuentas a las mediocres autoridades que nos est\xe1n matando?\nPor https://t.co/PQ1nDMhHNA'
13,2020-04-03 00:12:19,b'RT @alexadebarragan: Esta gente nunca estuvo a la altura. #SOSGuayaquil #EcuadorEnEmergencia y lo peor esta por venir.\n\nhttps://t.co/RXeW1p'
14,2020-04-03 00:12:17,"b'#IMPORTANTE A partir de hoy, el gobierno emitir\xe1 un solo reporte diario sobre las estad\xedsticas nacionales del coron https://t.co/S1oG9BPbNP'"
15,2020-04-03 00:12:05,b'Pero para qu\xe9 preocuparse si lo que pasa en #GuayaquilSOS no es cierto es puro #FakeNews s\xed o qu\xe9??? (sacamo) ves l https://t.co/SMGDxaGu4Q'
16,2020-04-03 00:12:05,b'Gracias por confiar en nosotras y contactarnos para abortar de manera segura. Queremos seguir respondi\xe9ndote oportu https://t.co/lEFgyzPR5O'
17,2020-04-03 00:11:58,"b'RT @EcuadorVideo: Situaci\xf3n muy triste en la que un joven pide desesperado   atenci\xf3n para su madre por su estado de emergencia, y le niega'"
18,2020-04-03 00:11:57,"b'RT @emirmontoya: @BetyStern @CayWashington @JacoboG_Ecu Todo el respaldo al alcalde y al pueblo de Ba\xf1os, no ten\xedan xq ser expuestos a cont'"
19,2020-04-03 00:13:08,b'RT @EmelecismoCSE: BIEN DICHO @soyfdelrincon @CNNEE\n\nEL PRESIDENTE DE ECUADOR @LENIN ANDA EN MUTIS\n\n#SOSEcuador #EcuadorSOS #COVID_19 #Coro'
20,2020-04-03 00:13:06,b'RT @Jay_Clandestino: @RubenLoor16 @soyfdelrincon No le alcanz\xf3 el cheque de rueditas a este asqueroso de Fernandito golpea mujeres. Diciend'
21,2020-04-03 00:13:06,b'RT @consuemary: .@CarlaMaldonadoP vas a denunciar a estos trolls???? #CODVID19 #EcuadorEnEmergencia #GuayaquilSOS https://t.co/LarTV2LQ6W'
22,2020-04-03 00:13:06,b'RT @DanielLoyaT: Hay que empezar a replantear nuestras prioridades. #EcuadorEnEmergencia #COVID2019Ec #QuedateEnCasa https://t.co/HNx65u17Mi'
23,2020-04-03 00:13:03,b'RT @MakiusRaven: #colun congela sus precios x un bar de meses  tambi\xe9n es bueno recordar que cuando #OsornoChile no ten\xeda agua ellos la do'
24,2020-04-03 00:12:58,b'RT @Cattuvela:  Las \xfanicas mascarillas que valen son las n95 o quir\xfargicas #guayaquil si usan de tela se est\xe1n exponiendo. RT esta informa'
25,2020-04-03 00:12:56,"b'RT @mijamart88:  #EcuadorEnEmergencia \n\nA ver si capto, #LeninMoreno dado q es el presidente de #ECUADOR se pide a s\xed mismo transpa'"
26,2020-04-03 00:12:56,b'RT @BaironValleP: \xa1NOS ESTABAN MINTIENDO!\n@ComunicacionEc pretendi\xf3 desviar la atenci\xf3n insinuando como #FakeNews a las noticias de persona'
27,2020-04-03 00:12:56,b'RT @drexlerjorge: Fuerza #Guayaquil !\nAyudemos a Ecuador!\n#EcuadorSOS \n#GuayaquilSOS #EcuadorEnEmergencia'
28,2020-04-03 00:12:54,"b'RT @BaironValleP: Total indolencia con los m\xe9dicos y enfermeras del @IESSec No son atendidos! Contagiados con el #COVID19, se ven obligados'"
29,2020-04-03 00:15:57,"b'RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicaci\xf3n, es imprescindible retirar ese cuerpo. Es un foco de contag?'"
30,2020-04-03 00:15:57,b'RT @puntoecu: #CadenaNacional\n@Lenin confirmaci\xf3n las nuevas disposiciones para los pr\xf3ximos d\xedas tras reuni\xf3n del Comit\xe9 de Operaciones de?'
31,2020-04-03 00:15:56,b'RT @consuemary: Lenin orden\xf3 a Lenin que sea transparente y no minimice la situaci\xf3n. .@mariapaularomo creo que tu jefe se auto desestabili?'
32,2020-04-03 00:15:53,b'RT @Vivi_GuevaraV: Culpar\xe1 y denunciar\xe1 al Presidente de El Salvador?\n?\nhttps://t.co/guyttFb68T\n?\nhttps://t.co/4k9VKOi4d0\n?\n#EcuadorEnEmerg?'
33,2020-04-03 00:15:34,b'RT @consuemary: Pero para qu\xe9 preocuparse si lo que pasa en #GuayaquilSOS no es cierto es puro #FakeNews s\xed o qu\xe9??? (sacamo) ves lo peligr?'
34,2020-04-03 00:15:13,b'RT @BaironValleP: \xa1NOS ESTABAN MINTIENDO!\n@ComunicacionEc pretendi\xf3 desviar la atenci\xf3n insinuando como #FakeNews a las noticias de persona?'
35,2020-04-03 00:15:13,"b'RT @emirmontoya: @BetyStern @CayWashington @JacoboG_Ecu Todo el respaldo al alcalde y al pueblo de Ba\xf1os, no ten\xedan xq ser expuestos a cont?'"
36,2020-04-03 00:15:11,"b'RT @EcuadorVideo: Situaci\xf3n muy triste en la que un joven pide desesperado   atenci\xf3n para su madre por su estado de emergencia, y le niega?'"
37,2020-04-03 00:15:02,b'RT @GonzalezBready: #COVID19 ??\n\n?? #Ecuador\n\nLa problem\xe1tica de los cad\xe1veres de infectados por Covid-19 en las casas radica en los m\xe1s qu?'
38,2020-04-03 00:14:51,b'RT @MorganaFSLN: ? #EcuadorEnEmergencia ?\nPor fin @Lenin tom\xf3 las riendas d la situaci\xf3n de su pa\xeds y dijo q la cifra de muertos?por #COVID?'
39,2020-04-03 00:16:18,"b'@robinrobles Robins\xf3n, necesitamos ayuda internacional de Cuba, China, Rusia, Alemania.\nEl gobierno no puede, no sa? https://t.co/3VAByzyT9v'"
40,2020-04-03 00:16:17,"b'RT @Vicever99396781: M\xe1s all\xe1 de su condici\xf3n de traidor al pueblo que vot\xf3 un programa de Izquierdas, #LeninMoreno ha demostrado ser un co?'"
41,2020-04-03 00:16:17,"b'RT @CostaEspinal: @sovieticaizdas @asierbijoux @TSerguio Buenos tardes compas!????\nA Miren la sigo de siempre ? a\xf1ado a @TSerguio , seguim?'"
42,2020-04-03 00:16:10,b'RT @douglastorresfe: Con supervisi\xf3n continua del gasto en #SOSGuayaquil #EcuadorEnEmergencia #Covid_19ec  @BancoMundialLAC @FMInoticias @e?'
43,2020-04-03 00:15:57,"b'RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicaci\xf3n, es imprescindible retirar ese cuerpo. Es un foco de contag?'"
44,2020-04-03 00:15:57,b'RT @puntoecu: #CadenaNacional\n@Lenin confirmaci\xf3n las nuevas disposiciones para los pr\xf3ximos d\xedas tras reuni\xf3n del Comit\xe9 de Operaciones de?'
45,2020-04-03 00:15:56,b'RT @consuemary: Lenin orden\xf3 a Lenin que sea transparente y no minimice la situaci\xf3n. .@mariapaularomo creo que tu jefe se auto desestabili?'
46,2020-04-03 00:15:53,b'RT @Vivi_GuevaraV: Culpar\xe1 y denunciar\xe1 al Presidente de El Salvador?\n?\nhttps://t.co/guyttFb68T\n?\nhttps://t.co/4k9VKOi4d0\n?\n#EcuadorEnEmerg?'
47,2020-04-03 00:15:34,b'RT @consuemary: Pero para qu\xe9 preocuparse si lo que pasa en #GuayaquilSOS no es cierto es puro #FakeNews s\xed o qu\xe9??? (sacamo) ves lo peligr?'
48,2020-04-03 00:15:13,b'RT @BaironValleP: \xa1NOS ESTABAN MINTIENDO!\n@ComunicacionEc pretendi\xf3 desviar la atenci\xf3n insinuando como #FakeNews a las noticias de persona?'
49,2020-04-03 00:16:33,"b'RT @FUTtrabajadores: #Ma\xc3\xb1ana #Cacerolazo | 20:00\nPor la vida, la salud, el empleo y alimento para los m\xc3\xa1s pobres. \xe2\x9c\x8a\n#SOSGuayaquil \n#Ecuador\xe2\x80\xa6'"
50,2020-04-03 00:16:26,b'RT @consuemary: El funcionarato d #ElPeorGobiernoDeLaHistoria haciendo lo que mejor saben hacer... S\xc3\xad exacto POSAR  #EcuadorEnEmergencia #S\xe2\x80\xa6'
51,2020-04-03 00:16:18,"b'@robinrobles Robins\xc3\xb3n, necesitamos ayuda internacional de Cuba, China, Rusia, Alemania.\nEl gobierno no puede, no sa\xe2\x80\xa6 https://t.co/3VAByzyT9v'"
52,2020-04-03 00:16:17,"b'RT @Vicever99396781: M\xc3\xa1s all\xc3\xa1 de su condici\xc3\xb3n de traidor al pueblo que vot\xc3\xb3 un programa de Izquierdas, #LeninMoreno ha demostrado ser un co\xe2\x80\xa6'"
53,2020-04-03 00:16:17,"b'RT @CostaEspinal: @sovieticaizdas @asierbijoux @TSerguio Buenos tardes compas!\xe2\x9d\xa4\xf0\x9f\x92\x9b\xf0\x9f\x92\x9c\xf0\x9f\x94\xbb\nA Miren la sigo de siempre \xf0\x9f\x98\x8d a\xc3\xb1ado a @TSerguio , seguim\xe2\x80\xa6'"
54,2020-04-03 00:16:10,b'RT @douglastorresfe: Con supervisi\xc3\xb3n continua del gasto en #SOSGuayaquil #EcuadorEnEmergencia #Covid_19ec  @BancoMundialLAC @FMInoticias @e\xe2\x80\xa6'
55,2020-04-03 00:15:57,"b'RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicaci\xc3\xb3n, es imprescindible retirar ese cuerpo. Es un foco de contag\xe2\x80\xa6'"
56,2020-04-03 00:15:57,b'RT @puntoecu: #CadenaNacional\n@Lenin confirmaci\xc3\xb3n las nuevas disposiciones para los pr\xc3\xb3ximos d\xc3\xadas tras reuni\xc3\xb3n del Comit\xc3\xa9 de Operaciones de\xe2\x80\xa6'
57,2020-04-03 00:15:56,b'RT @consuemary: Lenin orden\xc3\xb3 a Lenin que sea transparente y no minimice la situaci\xc3\xb3n. .@mariapaularomo creo que tu jefe se auto desestabili\xe2\x80\xa6'
58,2020-04-03 00:15:53,b'RT @Vivi_GuevaraV: Culpar\xc3\xa1 y denunciar\xc3\xa1 al Presidente de El Salvador?\n\xf0\x9f\x91\x87\nhttps://t.co/guyttFb68T\n\xf0\x9f\x91\x87\nhttps://t.co/4k9VKOi4d0\n\xf0\x9f\x91\x87\n#EcuadorEnEmerg\xe2\x80\xa6'
59,2020-04-03 00:17:02,b'RT @bytati_: El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE. Aclara que ahora recogen 150 cad\xc3\xa1veres diar\xe2\x80\xa6'
60,2020-04-03 00:16:51,b'RT @consuemary: Lenin orden\xc3\xb3 a Lenin que sea transparente y no minimice la situaci\xc3\xb3n. .@mariapaularomo creo que tu jefe se auto desestabili\xe2\x80\xa6'
61,2020-04-03 00:16:33,"b'RT @FUTtrabajadores: #Ma\xc3\xb1ana #Cacerolazo | 20:00\nPor la vida, la salud, el empleo y alimento para los m\xc3\xa1s pobres. \xe2\x9c\x8a\n#SOSGuayaquil \n#Ecuador\xe2\x80\xa6'"
62,2020-04-03 00:16:26,b'RT @consuemary: El funcionarato d #ElPeorGobiernoDeLaHistoria haciendo lo que mejor saben hacer... S\xc3\xad exacto POSAR  #EcuadorEnEmergencia #S\xe2\x80\xa6'
63,2020-04-03 00:16:18,"b'@robinrobles Robins\xc3\xb3n, necesitamos ayuda internacional de Cuba, China, Rusia, Alemania.\nEl gobierno no puede, no sa\xe2\x80\xa6 https://t.co/3VAByzyT9v'"
64,2020-04-03 00:16:17,"b'RT @Vicever99396781: M\xc3\xa1s all\xc3\xa1 de su condici\xc3\xb3n de traidor al pueblo que vot\xc3\xb3 un programa de Izquierdas, #LeninMoreno ha demostrado ser un co\xe2\x80\xa6'"
65,2020-04-03 00:16:17,"b'RT @CostaEspinal: @sovieticaizdas @asierbijoux @TSerguio Buenos tardes compas!\xe2\x9d\xa4\xf0\x9f\x92\x9b\xf0\x9f\x92\x9c\xf0\x9f\x94\xbb\nA Miren la sigo de siempre \xf0\x9f\x98\x8d a\xc3\xb1ado a @TSerguio , seguim\xe2\x80\xa6'"
66,2020-04-03 00:16:10,b'RT @douglastorresfe: Con supervisi\xc3\xb3n continua del gasto en #SOSGuayaquil #EcuadorEnEmergencia #Covid_19ec  @BancoMundialLAC @FMInoticias @e\xe2\x80\xa6'
67,2020-04-03 00:15:57,"b'RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicaci\xc3\xb3n, es imprescindible retirar ese cuerpo. Es un foco de contag\xe2\x80\xa6'"
68,2020-04-03 00:15:57,b'RT @puntoecu: #CadenaNacional\n@Lenin confirmaci\xc3\xb3n las nuevas disposiciones para los pr\xc3\xb3ximos d\xc3\xadas tras reuni\xc3\xb3n del Comit\xc3\xa9 de Operaciones de\xe2\x80\xa6'
69,2020-04-03 00:22:37,b'RT @CarmenN02585091: #EcuadorEnEmergencia \xf0\x9f\x94\x8aDe verdad que duele\xe2\x80\xbc\xef\xb8\x8fPersonas muriendo en la calle a consecuencia del #COVID19. Qu\xc3\xa9 pena\xe2\x80\xbc\xef\xb8\x8fNada m\xe2\x80\xa6'
70,2020-04-03 00:22:36,b'RT @CarmenN02585091: #EcuadorEnEmergencia \xf0\x9f\x94\x8aDe verdad que duele\xe2\x80\xbc\xef\xb8\x8fPersonas muriendo en la calle a consecuencia del #COVID19. Qu\xc3\xa9 pena\xe2\x80\xbc\xef\xb8\x8fNada m\xe2\x80\xa6'
71,2020-04-03 00:22:30,b'RT @renacova: Incre\xc3\xadble \xf0\x9f\x98\x94 \xf0\x9f\x92\x94 #EcuadorEnEmergencia \n\nhttps://t.co/3ovrNMWtMa'
72,2020-04-03 00:22:21,"b'RT @EcuadorVideo: Situaci\xc3\xb3n muy triste en la que un joven pide desesperado   atenci\xc3\xb3n para su madre por su estado de emergencia, y le niega\xe2\x80\xa6'"
73,2020-04-03 00:22:20,b'@LucianoPereyra yo ac\xc3\xa1 cocinando una medialuna para la familia #EcuadorEnEmergencia  \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\x90\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/zO64P4LbGD'
74,2020-04-03 00:22:19,"b'RT @bytati_: Viene a darnos lecciones de humanismo el Presidente que decidi\xc3\xb3 pagar 324 millones en deuda externa, en lugar de comprar kits\xe2\x80\xa6'"
75,2020-04-03 00:22:16,"b'Falso el Titular de la noticia. Unos bancos si lo han hecho para todos los tarjetahabientes; otros, es bajo petici\xc3\xb3\xe2\x80\xa6 https://t.co/C10HWtOd0t'"
76,2020-04-03 00:22:10,b'RT @bytati_: El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE. Aclara que ahora recogen 150 cad\xc3\xa1veres diar\xe2\x80\xa6'
77,2020-04-03 00:22:04,"b'RT @Exzambranom: Este es un ejemplo tomado de Colombia. Desde cualquier postura social y econ\xc3\xb3mica puedes ayudar.\nSiempre podemos, nuestro\xe2\x80\xa6'"
78,2020-04-03 00:21:59,b'RT @TPU19J: #CoronavirusEcuador El dictador Len\xc3\xadn Moreno agradece a sus ministros por negar la atenci\xc3\xb3n hospitalaria y que los pacientes mu\xe2\x80\xa6'
79,2020-04-03 00:24:48,b'RT @Cattuvela: \xf0\x9f\x92\xa2 Las \xc3\xbanicas mascarillas que valen son las n95 o quir\xc3\xbargicas #guayaquil si usan de tela se est\xc3\xa1n exponiendo. RT esta informa\xe2\x80\xa6'
80,2020-04-03 00:24:43,b'Hace dos minutos los retrasados de Ecuavisa hablaban de desabastecimiento en New York. Est\xc3\xa1 noticia lo desmiente po\xe2\x80\xa6 https://t.co/EyoHkSjZmz'
81,2020-04-03 00:24:38,"b'RT @EcuadorVideo: Situaci\xc3\xb3n muy triste en la que un joven pide desesperado   atenci\xc3\xb3n para su madre por su estado de emergencia, y le niega\xe2\x80\xa6'"
82,2020-04-03 00:24:36,b'@ecuavisa @COYUMO #EcuadorEnEmergencia #SOSEcuador #EcuadorSOS #Cuenca #ElPeorGobiernoDeLaHistoria @PaulGranda LADR\xe2\x80\xa6 https://t.co/gPcmSR6F5Y'
83,2020-04-03 00:24:32,b'RT @Jay_Clandestino: @RubenLoor16 @soyfdelrincon No le alcanz\xc3\xb3 el cheque de rueditas a este asqueroso de Fernandito golpea mujeres. Diciend\xe2\x80\xa6'
84,2020-04-03 00:24:14,b'Por qu\xc3\xa9 a\xc3\xban no lo han destituido a #Granda? Si fuera #PaolaPabon ya estuviera tras las rejas. Lo mismo #Viteri \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xe2\x80\xa6 https://t.co/QerID5Tj1o'
85,2020-04-03 00:24:12,b'Porqu\xc3\xa9 en los informes que dan por televisi\xc3\xb3n no dan este informe? #EcuadorEnEmergencia https://t.co/xRaadj8yvR'
86,2020-04-03 00:24:07,b'RT @rudytomastejada: @PedroPabloDuart @aguschmer @Cupsfire_gye @EmergenciasEc @tinocotania Favor su ayuda con el se\xc3\xb1or. #GuayaquilSOS #Ecua\xe2\x80\xa6'
87,2020-04-03 00:24:00,b'RT @drexlerjorge: Fuerza #Guayaquil !\nAyudemos a Ecuador!\n#EcuadorSOS \n#GuayaquilSOS #EcuadorEnEmergencia'
88,2020-04-03 00:23:46,"b'@Riesgos_Ec @Lenin @LoroHomero\nEn este punto no se salva el pa\xc3\xads m\xc3\xa1s avanzado, sino la tribu m\xc3\xa1s disciplinada\xe2\x80\xa6 https://t.co/IAi8jlAUtC'"
89,2020-04-03 00:25:22,b'@Fridakl21 @Carlittos593 Definitivamente!! #MorenoVirus #ElPeorGobiernoDeLaHistoria #ElGobiernoTeMiente #EcuadorEnEmergencia'
90,2020-04-03 00:25:17,"b'RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicaci\xc3\xb3n, es imprescindible retirar ese cuerpo. Es un foco de contag\xe2\x80\xa6'"
91,2020-04-03 00:25:17,"b'RT @emirmontoya: @robinrobles Robins\xc3\xb3n, necesitamos ayuda internacional de Cuba, China, Rusia, Alemania.\nEl gobierno no puede, no sabe, no\xe2\x80\xa6'"
92,2020-04-03 00:25:17,b'RT @BaironValleP: \xc2\xa1NOS ESTABAN MINTIENDO!\n@ComunicacionEc pretendi\xc3\xb3 desviar la atenci\xc3\xb3n insinuando como #FakeNews a las noticias de persona\xe2\x80\xa6'
93,2020-04-03 00:25:16,b'RT @LEXKANDER: #EcuadorEnEmergencia que pena que el mundo nos vea as\xc3\xad. \xf0\x9f\x98\xa3 https://t.co/bdLv8VUSO4'
94,2020-04-03 00:25:12,"b'RT @EcuadorVideo: Situaci\xc3\xb3n muy triste en la que un joven pide desesperado   atenci\xc3\xb3n para su madre por su estado de emergencia, y le niega\xe2\x80\xa6'"
95,2020-04-03 00:25:08,b'RT @CarmenN02585091: #EcuadorEnEmergencia \xf0\x9f\x94\x8aDe verdad que duele\xe2\x80\xbc\xef\xb8\x8fPersonas muriendo en la calle a consecuencia del #COVID19. Qu\xc3\xa9 pena\xe2\x80\xbc\xef\xb8\x8fNada m\xe2\x80\xa6'
96,2020-04-03 00:25:07,"b'RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicaci\xc3\xb3n, es imprescindible retirar ese cuerpo. Es un foco de contag\xe2\x80\xa6'"
97,2020-04-03 00:25:07,b'RT @rudytomastejada: @PedroPabloDuart @aguschmer @Cupsfire_gye @EmergenciasEc @tinocotania Favor su ayuda con el se\xc3\xb1or. #GuayaquilSOS #Ecua\xe2\x80\xa6'
98,2020-04-03 00:24:54,"b'RT @emirmontoya: @robinrobles Robins\xc3\xb3n, necesitamos ayuda internacional de Cuba, China, Rusia, Alemania.\nEl gobierno no puede, no sabe, no\xe2\x80\xa6'"
